a_k,b_k,c_k,time
0.8040298603920011,-3.8392466726427874,5.218140973982741,0
0.7947483549427722,-3.7952505244087096,4.690415444092604,1
0.6185366533271276,-4.429525856103353,4.253655783170329,2
0.7725142352589762,-3.9206052954263146,5.668265440729029,3
9.112626042360041,-9.23543830806113,10.070210849922088,4
9.548946328935385,-9.081373624023238,10.95206457507231,5
10.919971841935432,-10.622728805594614,8.40555864314839,6
10.542700774443547,-10.3819632929054,11.667361581486295,7
10.373362974131824,-10.83751723508405,10.861331169118507,8
10.825813179739493,-10.020066064856465,13.929800166557031,9
11.29903676349997,-12.014629778082284,11.827160218205174,10
7.942893784214556,-8.450930305910472,9.253994638464809,11
11.089041755487056,-12.20145180915065,12.342186002655641,12
11.52845141550452,-14.287834709819501,12.101473105785953,13
7.160050026541248,-8.247983643365533,9.119732907038848,14
12.143013755069168,-15.028482455604575,13.191378114893803,15
7.140594983904308,-8.566423203196877,8.391740928073055,16
11.078309435446872,-14.94434693800562,11.971916746493056,17
11.388744704487173,-15.532556968872957,11.256785141944052,18
11.54489383406593,-17.010550850652123,10.463087806317446,19
8.037366227022696,-11.98851651224443,8.143194411308,20
6.669635473764848,-11.186064215894472,6.483819853701989,21
6.24195203553537,-12.17244901011957,5.773499918537107,22
8.708845900073397,-34.8803509579147,0.7594965887926033,23
16.691543119616554,-58.805974512610454,3.1524997550978116,24
10.224905926917327,-26.824631866579356,3.149348723594637,25
11.459933222810394,-20.604642652021663,3.651258217681528,26
27.73430707831693,-30.611864747319885,7.892864415994081,27
37.178989226431334,-20.730747632307946,6.520419727042423,28
26.90537113817262,-6.282297752078064,2.6223906592063027,29
23.242374755724274,0.3745878207190258,-0.13689943419584666,30
