a_k,b_k,c_k,time
0.49719398286732164,-4.597389358086286,7.523559313732562,0
-1.2227901070616358,-7.464808685041981,7.711484426925756,1
-0.3651416248000153,-6.31656596135978,7.433443398379157,2
0.2376065442256879,-6.496163426980658,7.880033322222989,3
8.921411975300508,-8.22091291385211,8.831706153699331,4
8.911845974147978,-7.755820164370728,9.534999470892526,5
9.09990749840065,-9.95619664710524,7.430446945508456,6
8.912902594064567,-8.6129002945346,9.71258175327381,7
9.40568192232821,-9.385020172320608,9.474927444776458,8
9.168784568364224,-8.342360638230542,12.148796892037637,9
9.179414031982049,-9.69654148669278,10.527956764515185,10
9.311060520345965,-9.444836814116412,10.707281320987057,11
9.591719417934055,-9.576837673721702,10.828090279867434,12
9.368500831148296,-11.055568199920478,9.892175083976532,13
9.532866405842146,-10.39241871674059,10.598908682936978,14
9.436230260409083,-11.597897570714029,10.587248592502089,15
9.710424829280987,-11.818219454838024,10.165638305676282,16
9.476437571980144,-12.926621271490701,10.429400736926251,17
9.564888597945048,-13.349847481269956,10.5756882789345,18
9.165817718316545,-14.712905965747028,10.131535338984344,19
9.202577154798757,-16.23663478504969,9.241444125963644,20
9.605933520554176,-16.97002394299014,8.883506282184523,21
9.192121118788972,-19.291469733765506,7.144456861997327,22
8.219530772474968,-32.430429204236,1.142120030875047,23
12.871927748866295,-49.538823163514984,2.752637974046969,24
17.050205755167312,-49.353574336084726,6.018756854461503,25
24.19056479037087,-44.40401944121107,7.852501942506769,26
32.815111775787564,-36.83803963488556,9.25393086082894,27
45.19918987531644,-26.446224965099724,8.648893382780885,28
65.3236371155176,-15.608149297437754,6.297726290303492,29
95.69090815482029,-0.004106241731213591,-0.05115212915488561,30
