arxiv_id,xepdf_levenshtein,xepdf_hamming,xepdf_levenshtein_ratio,xepdf_levenshtein_normalised,xepdf_hamming_normalised,xepdf_levenshtein_cleaned,xepdf_levenshtein_cleaned_normalised,xepdf_op_uppercase,xepdf_op_lowercase,xepdf_op_movement,xepdf_op_whitespace,xepdf_insert_minus_delete,xepdf_chars_diff_nett,xepdf_chars_diff_uniq,xepdf_img_correct_order,xepdf_img_num_missing,xepdf_img_num_diff_size,xepdf_fonts_num,xepdf_fonts_uniq,xepdf_num_pages,xelua_levenshtein,xelua_hamming,xelua_levenshtein_ratio,xelua_levenshtein_normalised,xelua_hamming_normalised,xelua_levenshtein_cleaned,xelua_levenshtein_cleaned_normalised,xelua_op_uppercase,xelua_op_lowercase,xelua_op_movement,xelua_op_whitespace,xelua_insert_minus_delete,xelua_chars_diff_nett,xelua_chars_diff_uniq,xelua_img_correct_order,xelua_img_num_missing,xelua_img_num_diff_size,xelua_fonts_num,xelua_fonts_uniq,xelua_num_pages
2306.00036,29129.0,70635.0,0.7536168177175585,0.623884721164151,0.08795692538122846,14843.0,0.8083463529897865,14.0,14.0,5745.0,15.0,200.0,-187.0,40.0,True,0.0,0.0,13.0,37.0,0.0,29190.0,71703.0,0.7464752520655127,0.6221212474270845,0.07176977746708613,23148.0,0.7003378771991144,10.0,13.0,1962.0,16.0,-10583.0,-9242.0,82.0,True,0.0,0.0,0.0,0.0,2.0
2306.00207,2680.0,125810.0,0.9904201272387363,0.9812303899596594,0.11887886597938147,140.0,0.9990194979829673,0.0,0.0,381.0,2.0,-1535.0,-72.0,19.0,True,0.0,0.0,12.0,28.0,0.0,2805.0,124712.0,0.9881599977567788,0.9803549417301658,0.1265688032272524,919.0,0.9935637046167638,0.0,0.0,638.0,2.0,-264.0,-521.0,64.0,True,0.0,0.0,3.0,3.0,0.0
2306.00417,2311.0,29659.0,0.9723011363636364,0.9470549153474306,0.3205113519210062,204.0,0.9953263534101583,0.0,0.0,788.0,2.0,-2.0,-2.0,2.0,True,0.0,0.0,0.0,0.0,1.0,369.0,30071.0,0.9957502376888624,0.9915463917525773,0.31108820160366557,2.0,0.9999541809851088,0.0,0.0,141.0,2.0,1.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00001,9391.0,25419.0,0.7854489840506882,0.6585339248054687,0.07573994618573199,3959.0,0.8560468329576031,23.0,9.0,2217.0,2.0,80.0,0.0,48.0,True,0.0,0.0,7.0,21.0,0.0,232.0,4804.0,0.9957696655847708,0.9915396397053461,0.8248121945882868,0.0,1.0,0.0,0.0,104.0,2.0,-2.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00002,31.0,26380.0,0.9994762169771172,0.998985502503518,0.13669535621952422,2.0,0.9999345485486141,0.0,0.0,0.0,2.0,20.0,1.0,3.0,True,0.0,0.0,1.0,29.0,0.0,2.0,26887.0,0.9999672517684045,0.9999345056816321,0.1195271310213839,0.0,1.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306.01691,4228.0,60217.0,0.9666202847138335,0.9353981083930508,0.07991198985438597,583.0,0.9910920286644155,2.0,5.0,1478.0,2.0,96.0,2.0,4.0,True,0.0,0.0,3.0,59.0,0.0,13174.0,60014.0,0.8875823789354578,0.7987073509862943,0.08301373630571307,3364.0,0.9485996302351521,7.0,9.0,4071.0,2.0,96.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0
2306.00004,15.0,40164.0,0.9999068324683368,0.9998355876098822,0.5597693842207949,2.0,0.9999780783479842,0.0,0.0,2.0,2.0,-1.0,0.0,2.0,True,0.0,0.0,0.0,72.0,0.0,2.0,2.0,0.9999780783479844,0.9999780783479844,0.9999780783479844,2.0,0.9999780783479844,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True,0.0,0.0,0.0,30.0,0.0
2306.00022,5776.0,41769.0,0.9315156927513153,0.8757127794633444,0.10122006326253952,2510.0,0.9459901448152691,5.0,6.0,1388.0,2.0,5.0,0.0,2.0,True,0.0,0.0,2.0,4.0,0.0,7132.0,23408.0,0.9157915124386675,0.846518033915813,0.49625548764741323,2318.0,0.9501162090040458,4.0,5.0,2000.0,2.0,0.0,0.0,34.0,True,0.0,0.0,0.0,0.0,0.0
2306.01308,8094.0,41768.0,0.8996363636363637,0.8272469212216934,0.10853093718651952,4638.0,0.9010095404776642,11.0,9.0,1361.0,2.0,-206.0,-2.0,15.0,True,0.0,0.0,3.0,29.0,0.0,3585.0,35290.0,0.9528006915024171,0.9234889875362814,0.24684138637527742,2610.0,0.9442974218883388,2.0,4.0,423.0,2.0,3.0,0.0,14.0,True,0.0,0.0,0.0,12.0,0.0
