arxiv_id,docclass,20_ret,23_ret,20_time1,20_time2,23_time1,23_time2,20<>23,LV,LV_clean,OP_upper,OP_lower,OP_move,INS_DEL,CHRDIFF_nett,CHRDIFF_uniq,IMG_order,IMG_missing,IMG_size,FONT_num,FONT_uniq,PG_num
2306.04587,article,0,0,21.21231031,0.16749835,11.18954229,0.171660662,FALSE,2,2,0,0,0,0,0,4,TRUE,0,0,0,0,0
2306.00049,mnras,0,0,97.85661793,0.167212486,75.94625211,0.167282104,FALSE,19,2,0,0,4,-1,0,4,TRUE,0,0,0,6,0
2306.11061,article,0,0,16.17382813,0.166390896,10.42427707,0.167664051,FALSE,2,2,0,0,0,0,0,4,TRUE,0,0,0,0,0
2306.02667,elsarticle,12,12,10.03379512,9.904545069,6.211815596,0.166701555,FALSE,6484,5441,0,0,52,-6236,-5329,81,TRUE,0,0,3,5,1
2306.0007,article,0,0,25.67609859,0.16663456,15.1112752,0.166676998,FALSE,13987,5849,7,9,3285,-2,0,6,TRUE,0,0,0,0,0
2306.02708,amsart,0,0,21.2971971,0.218646526,11.93194342,0.167136192,FALSE,2,2,0,0,0,0,0,4,TRUE,0,0,0,0,0
2306.00489,INTERSPEECH2023,0,0,12.82423377,0.227016926,7.123998165,0.170181751,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.00432,article,0,0,12.38328505,0.222172499,6.556469202,0.217348576,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.06241,elsarticle,0,0,17.10470629,0.170424938,43.25733209,0.16941762,TRUE,2,2,0,0,0,0,0,4,TRUE,0,0,0,0,0
2306.00182,amsart,0,0,31.48038602,0.167045355,20.2552433,0.218645573,FALSE,131,66,0,0,20,4,0,4,TRUE,0,0,0,0,0
2306.00389,article,0,0,26.48976731,0.167880535,15.16458535,0.178109169,FALSE,1,0,0,0,0,-1,0,0,TRUE,0,0,0,0,0
2306.00125,article,0,0,23.81857967,0.167951107,10.72998548,0.172490835,FALSE,2,2,0,0,0,0,0,4,TRUE,0,0,0,0,0
2306.00293,achemso,0,0,23.15859175,0.171965122,16.21225595,0.133854389,FALSE,2,2,0,0,0,-2,-2,1,TRUE,0,0,0,0,0
2306.0021,article,12,0,7.221381903,8.015714645,14.29695392,0.172616005,FALSE,418,181,0,0,84,81,117,12,TRUE,0,0,0,0,1
2306.01661,revtex4-1,0,0,47.39372921,0.168809414,10.58250809,0.167374372,TRUE,2,2,0,0,0,0,0,4,TRUE,0,0,0,0,0
2306.08345,acmart,0,12,45.36133504,0.116255045,6.96878314,7.206497669,FALSE,677,318,0,0,97,-201,-166,13,TRUE,0,0,0,0,0
2306.00028,revtex4-2,0,0,11.24024439,0.171739101,10.03556609,0.16697073,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.01534,article,0,0,9.583948374,0.166802406,7.356696844,0.167931557,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.00194,amsart,0,0,11.12464285,0.116013527,7.370506525,0.169047594,FALSE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.02145,wlscirep,0,0,19.69698644,0.167477369,13.8492465,0.16698885,FALSE,6094,2476,3,3,1412,9,15,6,TRUE,0,0,1,67,-3
2306.00706,article,0,0,11.10105419,0.217218161,3.989090681,0.168271542,FALSE,2,2,0,0,0,0,0,4,TRUE,0,0,0,0,0
2306.00359,revtex4-1,0,0,8.100605488,0.217993021,3.384456635,0.167506933,FALSE,11828,6834,10,9,1894,1,0,4,TRUE,0,0,0,0,0
2306.00135,article,0,0,27.53358221,0.217976093,10.53439689,0.167401314,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.00055,article,12,12,0.621976852,0.782979965,0.520658016,0.170666933,FALSE,,,,,,,,,,,,,,
2306.00853,article,0,0,38.7874043,0.168256521,34.35972142,0.167455196,FALSE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.0025,revtex4-1,0,0,26.87395597,0.169368505,15.50968575,0.172134638,FALSE,2,2,0,0,0,0,0,4,TRUE,0,0,0,0,0
2306.00475,elsarticle,0,0,8.462467909,0.167004585,4.826794863,0.16648078,TRUE,2,2,0,0,0,0,0,4,TRUE,0,0,0,0,0
2306.00038,article,0,0,27.76164913,0.170980692,18.82884932,0.168219805,FALSE,3,2,0,0,0,-1,0,4,TRUE,0,0,0,0,0
2306.00365,revtex4-2,0,0,26.48674965,0.168597937,21.76281929,0.1706779,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.00511,amsart,0,0,7.404144764,0.116045952,7.21304369,0.170142889,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,2,0
2306.00922,amsart,0,0,4.538414478,0.116156578,3.333942652,0.169894695,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.02185,nature,12,12,12.58637357,6.129999638,12.16020775,0.116235733,FALSE,213,168,0,0,10,24,-34,13,TRUE,0,0,3,5,0
2306.00094,elsarticle,0,0,18.76379919,0.167584181,12.83912086,0.171513319,FALSE,44,2,0,0,16,0,0,4,TRUE,0,0,0,0,0
2306.00122,article,0,0,24.52242613,0.216762304,15.53322673,0.169039488,FALSE,4,2,0,0,0,2,0,4,TRUE,0,0,0,0,0
2306.00085,article,0,0,21.56896353,0.216818571,10.78321767,0.17009306,FALSE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.00733,article,0,0,18.11118889,0.115578175,8.066811323,0.175219297,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.00282,cas-dc,12,0,15.51279473,8.411221981,24.51801586,0.171653032,FALSE,2773,1643,1,2,489,-74,-71,95,FALSE,1,0,0,0,0
2306.00454,article,0,0,10.89251518,0.171033144,7.813735008,0.167746544,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.0005,article,12,12,7.957028389,9.310960054,5.915039301,0.168782949,FALSE,36885,30101,0,0,262,-35669,-29580,85,TRUE,0,0,11,15,11
2306.03941,article,0,0,9.487919807,0.171928406,7.862961769,0.171447039,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.00484,amsart,0,0,10.36999345,0.118433714,7.409236908,0.166924477,FALSE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.00029,article,12,12,4.891868591,5.653385878,3.439258814,0.171537161,FALSE,14160,12013,0,0,21,-14063,-11990,79,TRUE,0,0,1,1,3
2306.02148,elsarticle,0,0,16.76899552,0.166225195,9.938557386,0.168450117,FALSE,4,4,0,0,0,0,0,6,TRUE,0,0,0,0,0
2306.00613,article,0,0,18.20078087,0.271129608,10.18593884,0.166075706,FALSE,2,2,0,0,0,0,0,4,TRUE,0,0,0,0,0
2306.02096,elsarticle,12,12,8.027339458,8.469388723,4.237654448,0.217587471,FALSE,5268,4184,1,0,167,-4809,-4069,80,TRUE,0,0,2,2,2
2306.00128,achemso,0,0,21.45941234,0.169154882,12.80663776,0.177600622,FALSE,24,24,0,0,0,0,4,9,TRUE,0,0,0,0,0
2306.00123,revtex4-2,12,12,9.726733446,9.532114267,4.145070791,0.172362328,FALSE,8242,6802,0,0,12,-7951,-6661,80,TRUE,0,0,0,2,3
2306.00084,mnras,0,0,32.63008142,0.222464323,18.39303136,0.166186571,FALSE,522,100,0,0,161,5,0,6,TRUE,0,0,1,9,0
2306.01133,amsart,0,0,6.71155405,0.166077375,3.083967686,0.170163155,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.00428,amsart,0,0,10.90333486,0.167215109,4.563836813,0.172169924,FALSE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0
2306.01933,MRM,0,0,37.46365428,0.166644096,17.76957369,0.168954372,TRUE,54,44,0,0,0,0,0,24,TRUE,0,0,0,0,0
