arxiv_id,20_ret,docclass,20_time1,20_time2,21_ret,21_time1,21_time2,22_ret,22_time1,22_time2,23_ret,23_time1,23_time2,entrypoint,documentclass,docclass_params,20,21,23,20<>21,20<>23
2306.04587,0,article,21.212310314178467,0.1674983501434326,0,16.462233543395996,0.1688563823699951,0,16.91301655769348,0.1163957118988037,0,11.189542293548584,0.1716606616973877,,,,,,,False,False
2306.00049,0,mnras,97.85661792755128,0.1672124862670898,0,78.94641423225403,0.1675243377685547,0,79.33288192749023,0.1682536602020263,0,75.94625210762024,0.1672821044921875,,,,,,,False,False
2306.11061,0,article,16.173828125,0.1663908958435058,0,12.688703060150146,0.1194679737091064,0,13.659832000732422,0.1157214641571044,0,10.424277067184448,0.1676640510559082,,,,,,,False,False
2306.02667,12,elsarticle,10.03379511833191,9.904545068740845,12,7.602617502212524,7.958446502685547,12,8.896464109420776,0.1168932914733886,12,6.211815595626831,0.1667015552520752,,,,,,,True,False
2306.0007,0,article,25.676098585128784,0.1666345596313476,0,17.95935583114624,0.1688172817230224,0,22.8989577293396,0.1721138954162597,0,15.11127519607544,0.1666769981384277,,,,,,,False,False
2306.02708,0,amsart,21.29719710350037,0.2186465263366699,0,15.716073751449583,0.1700341701507568,12,21.43124485015869,0.2166390419006347,0,11.93194341659546,0.1671361923217773,,,,,,,False,False
2306.00489,0,INTERSPEECH2023,12.824233770370483,0.2270169258117675,0,9.719950199127195,0.1681253910064697,12,11.42743682861328,0.2180256843566894,0,7.123998165130615,0.1701817512512207,,,,,,,True,True
2306.00432,0,article,12.38328504562378,0.2221724987030029,0,9.428484678268433,0.1714105606079101,12,11.131803512573242,0.2181577682495117,0,6.556469202041626,0.217348575592041,,,,,,,True,True
2306.06241,0,elsarticle,17.104706287384033,0.1704249382019043,0,40.57025074958801,0.1170709133148193,0,47.86645722389221,0.1167941093444824,0,43.25733208656311,0.1694176197052002,,,,,,,True,True
2306.00182,0,amsart,31.48038601875305,0.1670453548431396,0,25.82565665245056,0.1674673557281494,12,25.86625576019287,0.2221651077270507,0,20.2552433013916,0.2186455726623535,,,,,,,False,False
2306.00389,0,article,26.48976731300354,0.1678805351257324,0,20.800549030303955,0.1718597412109375,0,21.295785188674927,0.1664822101593017,0,15.16458535194397,0.1781091690063476,,,,,,,False,False
2306.00125,0,article,23.81857967376709,0.1679511070251464,0,15.704718351364136,0.116708755493164,0,17.678578853607178,0.1695818901062011,0,10.72998547554016,0.1724908351898193,,,,,,,False,False
2306.00293,0,achemso,23.158591747283936,0.1719651222229004,0,18.53588104248047,0.1160852909088134,0,19.11629319190979,0.171126127243042,0,16.21225595474243,0.1338543891906738,,,,,,,True,False
2306.0021,12,article,7.221381902694702,8.015714645385742,0,22.457375288009644,0.1741855144500732,0,23.61066460609436,0.1157634258270263,0,14.296953916549684,0.1726160049438476,,,,,,,False,False
2306.01661,0,revtex4-1,47.3937292098999,0.1688094139099121,0,15.263700246810911,0.1687264442443847,12,16.37438440322876,0.166400671005249,0,10.582508087158203,0.1673743724822998,,,,,,,True,True
2306.08345,0,acmart,45.3613350391388,0.1162550449371337,0,31.70697927474976,0.1670353412628173,0,32.15464949607849,0.1665990352630615,12,6.968783140182495,7.206497669219971,,,,,,,True,False
2306.00028,0,revtex4-2,11.240244388580322,0.1717391014099121,0,11.747024536132812,0.1686258316040039,12,12.196625709533691,0.2173337936401367,0,10.035566091537476,0.1669707298278808,,,,,,,True,True
2306.01534,0,article,9.583948373794556,0.1668024063110351,0,10.005512237548828,0.1674106121063232,12,15.047418594360352,0.2684640884399414,0,7.356696844100952,0.1679315567016601,,,,,,,True,True
2306.00194,0,amsart,11.124642848968506,0.1160135269165039,0,11.576356649398804,0.1672687530517578,0,16.623079776763916,0.1716580390930175,0,7.370506525039673,0.1690475940704345,,,,,,,False,False
2306.02145,0,wlscirep,19.696986436843872,0.1674773693084716,0,21.066262245178223,0.1726858615875244,12,25.21176481246948,0.271836519241333,0,13.849246501922607,0.1669888496398925,,,,,,,False,False
2306.00706,0,article,11.101054191589355,0.2172181606292724,0,7.207083702087402,0.1703712940216064,0,6.711276531219482,0.1684298515319824,0,3.98909068107605,0.1682715415954589,,,,,,,False,False
2306.00359,0,revtex4-1,8.100605487823486,0.2179930210113525,0,4.292639493942261,0.1168110370635986,0,6.274642705917358,0.1694307327270507,0,3.3844566345214844,0.1675069332122802,,,,,,,False,False
2306.00135,0,article,27.53358221054077,0.2179760932922363,0,16.07430148124695,0.171875,12,21.737752199172974,0.2688078880310058,0,10.534396886825562,0.1674013137817382,,,,,,,True,True
2306.00055,12,article,0.6219768524169922,0.7829799652099609,12,0.4213101863861084,0.4234848022460937,12,0.6224148273468018,0.1680240631103515,12,0.520658016204834,0.1706669330596923,,,,,,,False,False
2306.00853,0,article,38.78740429878235,0.1682565212249755,0,41.79312705993652,0.1719167232513427,0,42.8937976360321,0.1703064441680908,0,34.359721422195435,0.1674551963806152,,,,,,,False,False
2306.0025,0,revtex4-1,26.873955965042114,0.1693685054779052,0,24.27096915245056,0.1166424751281738,0,23.01242733001709,0.1697180271148681,0,15.509685754776,0.1721346378326416,,,,,,,False,False
2306.00475,0,elsarticle,8.462467908859253,0.1670045852661132,0,9.040583610534668,0.1668992042541504,0,6.95369553565979,0.1189227104187011,0,4.826794862747192,0.1664807796478271,,,,,,,True,True
2306.00038,0,article,27.761649131774902,0.17098069190979,0,27.776195287704468,0.1163177490234375,0,26.78503179550171,0.1711084842681884,0,18.82884931564331,0.1682198047637939,,,,,,,False,False
