0,n,e
0,0,3.516759862
1,0.693147181,2.668226298
2,1.098612289,1.392161572
3,1.386294361,1.547796558
4,1.609437912,1.541368834
5,1.791759469,2.350041149
6,1.945910149,2.267898458
7,2.079441542,1.964668179
8,2.197224577,1.148726185
9,2.302585093,1.416628598
10,2.397895273,1.072238328
11,2.48490665,1.154107115
12,2.564949357,0.863255134
13,2.63905733,1.281909614
14,2.708050201,1.171826196
15,2.772588722,1.049702546
16,2.833213344,1.285468548
17,2.890371758,1.582710921
18,2.944438979,1.669346371
19,2.995732274,1.053234455
20,3.044522438,1.113608659
21,3.091042453,1.146948704
22,3.135494216,0.731265205
23,3.17805383,0.88548712
24,3.218875825,0.537658427
25,3.258096538,1.102885145
26,3.295836866,0.898069392
27,3.33220451,-0.561957509
28,3.36729583,0.166385233
29,3.401197382,0.507347751
30,3.433987204,0.466830733
31,3.465735903,0.838217506
32,3.496507561,0.965706456
33,3.526360525,0.536192745
34,3.555348061,-3.782264303
35,3.583518938,0.218397198
36,3.610917913,0.077503711
37,3.63758616,-1.001523269
38,3.663561646,0.312152571
39,3.688879454,0.203925952
40,3.713572067,0.19961107
41,3.737669618,0.271897675
42,3.761200116,0.363099195
43,3.784189634,-0.524387504
44,3.80666249,-0.018545544
45,3.828641396,0.459282134
46,3.850147602,0.507892402
47,3.871201011,0.551278825
48,3.891820298,0.190131454
49,3.912023005,0.488029377
50,3.931825633,-2.266743743
51,3.951243719,-1.794931456
52,3.970291914,-0.822701767
53,3.988984047,-1.970013078
54,4.007333185,-0.955370769
55,4.025351691,0.218151252
56,4.043051268,0.548389239
57,4.060443011,0.05330166
58,4.077537444,-0.525546277
59,4.094344562,-0.83252887
60,4.110873864,-0.09679306
61,4.127134385,-0.29496715
62,4.143134726,-1.177661094
63,4.158883083,-1.246838968
64,4.17438727,-1.084345722
65,4.189654742,-0.253769145
66,4.204692619,-1.034114061
67,4.219507705,-2.053475445
68,4.234106505,0.333459542
69,4.248495242,0.384526231
70,4.262679877,-1.724631739
71,4.276666119,-2.447168017
72,4.290459441,-1.229901411
73,4.304065093,-0.021288227
74,4.317488114,-0.540747562
75,4.33073334,-0.574638768
76,4.343805422,-0.621353263
77,4.356708827,-0.983345029
78,4.369447852,-0.41750708
79,4.382026635,-0.273436189
80,4.394449155,-1.767246257
81,4.406719247,-0.487512588
82,4.418840608,-1.897145417
83,4.430816799,-3.648462815
84,4.442651256,-0.284010436
85,4.454347296,-1.020488865
86,4.465908119,0.20660309
87,4.477336814,-1.36436853
88,4.48863637,-0.451307427
89,4.49980967,-0.250519108
90,4.510859507,-0.696120958
91,4.521788577,-0.523368481
92,4.532599493,-1.951905333
93,4.543294782,-0.521836106
94,4.553876892,0.253615094
95,4.564348191,0.409848746
96,4.574710979,-0.842971828
97,4.584967479,-1.480079673
98,4.59511985,-1.443853713
99,4.605170186,-1.756189769
100,4.615120517,-0.227911829
101,4.624972813,-0.156137821
102,4.634728988,-1.395593445
103,4.644390899,-1.414965328
104,4.65396035,-2.129457127
105,4.663439094,-1.716572139
106,4.672828834,-0.412947522
107,4.682131227,-0.21777023
108,4.691347882,-0.393769623
109,4.700480366,0.051817716
110,4.709530201,0.030673628
111,4.718498871,-0.2129277
112,4.727387819,-0.478826617
113,4.736198448,-0.705074876
114,4.744932128,-1.28254846
115,4.753590191,-0.581857621
116,4.762173935,-1.806585168
117,4.770684624,-0.954488561
118,4.779123493,-0.942964753
119,4.787491743,-1.449486133
120,4.795790546,-0.277078194
121,4.804021045,-1.332021729
122,4.812184355,-2.402604908
123,4.820281566,-0.834172051
124,4.828313737,-1.018848621
125,4.836281907,0.196955849
126,4.844187086,-0.42133438
127,4.852030264,-1.766072181
128,4.859812404,-0.658998772
129,4.86753445,-0.802139943
130,4.875197323,-1.022970731
131,4.882801923,-0.564403518
132,4.890349128,-0.467398383
133,4.8978398,-0.133632106
134,4.905274778,-0.718831267
135,4.912654886,-1.993267205
136,4.919980926,-0.044887895
137,4.927253685,-1.631462512
138,4.934473933,-3.347182764
139,4.941642423,-2.272609057
140,4.94875989,-1.541829462
141,4.955827058,-0.322321053
142,4.96284463,-0.351976483
143,4.9698133,-2.629441086
144,4.976733742,-1.884705502
145,4.983606622,-1.321100404
146,4.990432587,-1.272675801
147,4.997212274,-1.577108297
148,5.003946306,-3.340989322
149,5.010635294,-0.743952313
