0,n,e
0,0,5.581199691
1,0.693147181,6.258120579
2,1.098612289,6.569654199
3,1.386294361,6.653176673
4,1.609437912,6.603088052
5,1.791759469,6.474231958
6,1.945910149,6.313347634
7,2.079441542,6.142991336
8,2.197224577,5.978582023
9,2.302585093,5.880450473
10,2.397895273,5.793076927
11,2.48490665,5.707372442
12,2.564949357,5.608083505
13,2.63905733,5.515995649
14,2.708050201,5.451056371
15,2.772588722,5.39116926
16,2.833213344,5.36024913
17,2.890371758,5.333153705
18,2.944438979,5.278342095
19,2.995732274,5.170852163
20,3.044522438,5.066254502
21,3.091042453,4.999105474
22,3.135494216,4.952413361
23,3.17805383,4.898185691
24,3.218875825,4.861106458
25,3.258096538,4.847697466
26,3.295836866,4.808065808
27,3.33220451,4.791940512
28,3.36729583,4.724704898
29,3.401197382,4.694391688
30,3.433987204,4.621782004
31,3.465735903,4.559194068
32,3.496507561,4.508014148
33,3.526360525,4.414446792
34,3.555348061,4.268249314
35,3.583518938,4.299437572
36,3.610917913,4.178469783
37,3.63758616,4.124236928
38,3.663561646,4.171415046
39,3.688879454,4.052338039
40,3.713572067,4.032601566
41,3.737669618,4.054738589
42,3.761200116,3.980225324
43,3.784189634,3.953335598
44,3.80666249,3.949693963
45,3.828641396,3.910077951
46,3.850147602,3.786010706
47,3.871201011,3.827529355
48,3.891820298,3.738955238
49,3.912023005,3.705262281
50,3.931825633,3.738808293
51,3.951243719,3.77238826
52,3.970291914,3.721278635
53,3.988984047,3.654052497
54,4.007333185,3.541353693
55,4.025351691,3.594476212
56,4.043051268,3.677389935
57,4.060443011,3.614834036
58,4.077537444,3.514747949
59,4.094344562,3.464969771
60,4.110873864,3.585281571
61,4.127134385,3.570716112
62,4.143134726,3.535359221
63,4.158883083,3.568768692
64,4.17438727,3.398326158
65,4.189654742,3.382720604
66,4.204692619,3.347414612
67,4.219507705,3.304046797
68,4.234106505,3.488641865
69,4.248495242,3.432061918
70,4.262679877,3.306398481
71,4.276666119,3.258577192
72,4.290459441,3.344331693
73,4.304065093,3.307674707
74,4.317488114,3.274137378
75,4.33073334,3.25272107
76,4.343805422,3.204397098
77,4.356708827,3.136609423
78,4.369447852,3.140093634
79,4.382026635,3.052692446
80,4.394449155,2.954465132
81,4.406719247,3.047231748
82,4.418840608,3.048915907
83,4.430816799,2.930827279
84,4.442651256,2.917315999
85,4.454347296,2.898134922
86,4.465908119,3.055262777
87,4.477336814,2.931153778
88,4.48863637,3.037424787
89,4.49980967,2.95083616
90,4.510859507,2.731936467
91,4.521788577,2.85500752
92,4.532599493,2.864917472
93,4.543294782,3.058362351
94,4.553876892,2.743746111
95,4.564348191,2.949469863
96,4.574710979,2.886847216
97,4.584967479,2.752114901
98,4.59511985,2.804262554
99,4.605170186,2.734604171
100,4.615120517,2.893245906
101,4.624972813,2.842527883
102,4.634728988,2.601377519
103,4.644390899,2.467411149
104,4.65396035,2.788956868
105,4.663439094,2.445569377
106,4.672828834,2.72228756
107,4.682131227,2.825208765
108,4.691347882,2.684085644
109,4.700480366,2.630605488
110,4.709530201,2.67566891
111,4.718498871,2.63411822
112,4.727387819,2.559982113
113,4.736198448,2.197935859
114,4.744932128,2.613707327
115,4.753590191,2.385573128
116,4.762173935,2.424603504
117,4.770684624,2.535582281
118,4.779123493,2.507936136
119,4.787491743,2.516172978
120,4.795790546,2.401559096
121,4.804021045,2.264356524
122,4.812184355,2.425602884
123,4.820281566,2.366676813
124,4.828313737,2.492143583
125,4.836281907,2.415352097
126,4.844187086,2.507614793
127,4.852030264,2.093968087
128,4.859812404,2.386152905
129,4.86753445,2.567196493
130,4.875197323,2.199733634
131,4.882801923,2.257742218
132,4.890349128,2.384193881
133,4.8978398,2.341190101
134,4.905274778,1.755810092
135,4.912654886,2.659163035
136,4.919980926,1.970334596
137,4.927253685,1.974802676
138,4.934473933,2.377218666
139,4.941642423,2.490809199
140,4.94875989,2.268190256
141,4.955827058,2.297293529
142,4.96284463,2.232694777
143,4.9698133,2.248704161
144,4.976733742,2.11499843
145,4.983606622,2.431315582
146,4.990432587,1.994628895
147,4.997212274,2.309284525
148,5.003946306,1.944772504
149,5.010635294,2.206046229
