arxiv_id,docclass,20_ret,21_ret,20_time1,20_time2,21_time1,21_time2,20<>21,LV,LV_clean,OP_upper,OP_lower,OP_move,INS_DEL,CHRDIFF_nett,CHRDIFF_uniq,IMG_order,IMG_missing,IMG_size,FONT_num,FONT_uniq,PG_num
2306.04587,article,12,0,5.041152000427246,0.2717609405517578,16.462233543395996,0.1688563823699951,False,2084.0,1490.0,2.0,1.0,150.0,1306.0,1081.0,73.0,True,0.0,0.0,2.0,6.0,0.0
2306.00049,mnras,12,0,18.210252285003666,0.2703168392181396,78.94641423225403,0.1675243377685547,False,42893.0,21732.0,10.0,11.0,7862.0,10401.0,8206.0,78.0,True,0.0,0.0,1.0,3.0,-1.0
2306.11061,article,0,0,12.95380449295044,0.1187202930450439,12.688703060150146,0.1194679737091064,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.02667,elsarticle,12,12,7.308634757995605,0.2215967178344726,7.602617502212524,7.958446502685547,False,6482.0,5435.0,0.0,0.0,53.0,6236.0,5329.0,81.0,True,0.0,0.0,3.0,5.0,-1.0
2306.0007,article,12,0,6.246771812438965,0.2166118621826172,17.95935583114624,0.1688172817230224,False,43788.0,26979.0,13.0,14.0,5607.0,18788.0,15400.0,82.0,True,0.0,0.0,7.0,13.0,-5.0
2306.02708,amsart,0,0,15.986133813858032,0.1684069633483886,15.716073751449583,0.1700341701507568,False,97.0,97.0,0.0,0.0,0.0,0.0,0.0,2.0,True,0.0,0.0,0.0,0.0,0.0
2306.00489,INTERSPEECH2023,0,0,10.076996088027954,0.1671226024627685,9.719950199127195,0.1681253910064697,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00432,article,0,0,13.679041385650637,0.1712327003479004,9.428484678268433,0.1714105606079101,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.06241,elsarticle,12,0,27.675922632217407,0.1845378875732422,40.57025074958801,0.1170709133148193,False,2254.0,1865.0,0.0,0.0,40.0,1845.0,1701.0,68.0,True,0.0,0.0,2.0,4.0,-1.0
2306.00182,amsart,0,0,29.807646989822388,0.1361558437347412,25.82565665245056,0.1674673557281494,False,627.0,565.0,0.0,0.0,19.0,4.0,0.0,2.0,True,0.0,0.0,0.0,0.0,0.0
2306.00389,article,12,0,5.645915269851685,0.2174470424652099,20.800549030303955,0.1718597412109375,False,10945.0,8258.0,8.0,8.0,680.0,7250.0,6366.0,74.0,True,0.0,0.0,1.0,1.0,-3.0
2306.00125,article,0,0,16.033929109573364,0.1690053939819336,15.704718351364136,0.116708755493164,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00293,achemso,12,0,6.347966432571411,0.3092141151428222,18.53588104248047,0.1160852909088134,False,12334.0,9647.0,0.0,0.0,265.0,10803.0,9170.0,75.0,True,0.0,0.0,0.0,2.0,-7.0
2306.0021,article,12,0,6.007048845291138,0.2173178195953369,22.457375288009644,0.1741855144500732,False,8297.0,6734.0,0.0,0.0,107.0,7684.0,6552.0,75.0,True,0.0,0.0,1.0,1.0,-1.0
2306.01661,revtex4-1,0,0,16.1607403755188,0.1161012649536132,15.263700246810911,0.1687264442443847,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.08345,acmart,12,0,10.588485956192017,0.2167646884918213,31.70697927474976,0.1670353412628173,False,18295.0,13950.0,6.0,5.0,987.0,12872.0,11125.0,78.0,True,0.0,0.0,0.0,0.0,-2.0
2306.00028,revtex4-2,0,0,11.490171909332275,0.1722815036773681,11.747024536132812,0.1686258316040039,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.01534,article,0,0,9.767849206924438,0.1694147586822509,10.005512237548828,0.1674106121063232,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00194,amsart,0,0,11.091075658798218,0.173555850982666,11.576356649398804,0.1672687530517578,False,26.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,True,0.0,0.0,0.0,0.0,0.0
2306.02145,wlscirep,0,0,18.819615840911865,0.1695947647094726,21.066262245178223,0.1726858615875244,False,6110.0,2500.0,3.0,3.0,1413.0,9.0,15.0,6.0,True,0.0,0.0,1.0,67.0,-3.0
2306.00706,article,0,0,6.564439535140991,0.1173489093780517,7.207083702087402,0.1703712940216064,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00359,revtex4-1,0,0,4.7464258670806885,0.1688542366027832,4.292639493942261,0.1168110370635986,False,11826.0,6829.0,10.0,9.0,1892.0,1.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00135,article,0,0,15.45020055770874,0.1669468879699707,16.07430148124695,0.171875,True,107.0,107.0,0.0,0.0,0.0,0.0,0.0,2.0,True,0.0,0.0,0.0,0.0,0.0
2306.00055,article,12,12,0.3678715229034424,0.4192657470703125,0.4213101863861084,0.4234848022460937,False,,,,,,,,,,,,,,
2306.00853,article,0,0,36.70656180381775,0.1702847480773925,41.79312705993652,0.1719167232513427,False,11.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,True,0.0,0.0,0.0,0.0,0.0
