arxiv_id,2021_levenshtein,2021_hamming,2021_levenshtein_ratio,2021_levenshtein_normalised,2021_hamming_normalised,2021_levenshtein_cleaned,2021_levenshtein_cleaned_normalised,2021_op_uppercase,2021_op_lowercase,2021_op_movement,2021_op_whitespace,2021_insert_minus_delete,2021_chars_diff_nett,2021_chars_diff_uniq,2021_img_correct_order,2021_img_num_missing,2021_img_num_diff_size,2021_fonts_num,2021_fonts_uniq,2021_num_pages,2122_levenshtein,2122_hamming,2122_levenshtein_ratio,2122_levenshtein_normalised,2122_hamming_normalised,2122_levenshtein_cleaned,2122_levenshtein_cleaned_normalised,2122_op_uppercase,2122_op_lowercase,2122_op_movement,2122_op_whitespace,2122_insert_minus_delete,2122_chars_diff_nett,2122_chars_diff_uniq,2122_img_correct_order,2122_img_num_missing,2122_img_num_diff_size,2122_fonts_num,2122_fonts_uniq,2122_num_pages,2223_levenshtein,2223_hamming,2223_levenshtein_ratio,2223_levenshtein_normalised,2223_hamming_normalised,2223_levenshtein_cleaned,2223_levenshtein_cleaned_normalised,2223_op_uppercase,2223_op_lowercase,2223_op_movement,2223_op_whitespace,2223_insert_minus_delete,2223_chars_diff_nett,2223_chars_diff_uniq,2223_img_correct_order,2223_img_num_missing,2223_img_num_diff_size,2223_fonts_num,2223_fonts_uniq,2223_num_pages,2023_levenshtein,2023_hamming,2023_levenshtein_ratio,2023_levenshtein_normalised,2023_hamming_normalised,2023_levenshtein_cleaned,2023_levenshtein_cleaned_normalised,2023_op_uppercase,2023_op_lowercase,2023_op_movement,2023_op_whitespace,2023_insert_minus_delete,2023_chars_diff_nett,2023_chars_diff_uniq,2023_img_correct_order,2023_img_num_missing,2023_img_num_diff_size,2023_fonts_num,2023_fonts_uniq,2023_num_pages
2306.00345,86.0,391.0,0.9980249862208341,0.9960499724416682,0.9820411537754915,0.0,1.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,86.0,391.0,0.9980249862208341,0.9960499724416682,0.9820411537754915,0.0,1.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00184,21577.0,66446.0,0.830885329544847,0.7074265413768323,0.09902507152639362,15403.0,0.7911429307516034,0.0,4.0,1502.0,4.0,16575.0,14298.0,82.0,False,2.0,0.0,3.0,3.0,-3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,21577.0,66446.0,0.830885329544847,0.7074265413768323,0.09902507152639362,15403.0,0.7911429307516034,0.0,4.0,1502.0,4.0,16575.0,14298.0,82.0,False,2.0,0.0,3.0,3.0,-3.0
2306.07731,146.0,218.0,0.998912444739481,0.9979378822333018,0.9969209474442451,67.0,0.9990536856824056,0.0,0.0,31.0,2.0,0.0,0.0,2.0,True,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,4.0,0.0,146.0,218.0,0.998912444739481,0.9979378822333018,0.9969209474442451,67.0,0.9990536856824056,0.0,0.0,31.0,2.0,0.0,0.0,2.0,True,0.0,0.0,0.0,4.0,0.0
2306.00389,10945.0,56883.0,0.9025780456644937,0.8307796966557924,0.12053371264243418,8258.0,0.8723233197792173,8.0,8.0,680.0,2.0,7250.0,6366.0,74.0,True,0.0,0.0,1.0,1.0,-3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,10945.0,56883.0,0.9025780456644937,0.8307796966557924,0.12053371264243418,8258.0,0.8723233197792173,8.0,8.0,680.0,2.0,7250.0,6366.0,74.0,True,0.0,0.0,1.0,1.0,-3.0
2306.08110,21938.0,146622.0,0.9237272124680183,0.8617861080485116,0.07625137816979055,8025.0,0.949440856827847,7.0,7.0,5256.0,2.0,5163.0,4828.0,79.0,True,0.0,0.0,2.0,6.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,4.0,0.0,21938.0,146622.0,0.9237272124680183,0.8617861080485116,0.07625137816979055,8025.0,0.949440856827847,7.0,7.0,5256.0,2.0,5163.0,4828.0,79.0,True,0.0,0.0,2.0,6.0,-2.0
2306.02281,7.0,7.0,0.9999045215849417,0.9999045215849417,0.9999045215849417,7.0,0.9999045215849417,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.9999045215849417,0.9999045215849417,0.9999045215849417,7.0,0.9999045215849417,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True,0.0,0.0,0.0,0.0,0.0
2306.00146,7875.0,61979.0,0.9389870048301955,0.8861763940681641,0.10416847339057034,4452.0,0.9356517214465354,0.0,0.0,986.0,2.0,4630.0,4024.0,84.0,True,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,7875.0,61979.0,0.9389870048301955,0.8861763940681641,0.10416847339057034,4452.0,0.9356517214465354,0.0,0.0,986.0,2.0,4630.0,4024.0,84.0,True,0.0,0.0,2.0,2.0,0.0
2306.00710,2200.0,17699.0,0.9420545459192802,0.8933281613653995,0.1418250581846393,1890.0,0.9083591931730023,0.0,0.0,0.0,2.0,2125.0,1819.0,72.0,True,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.9998545384018619,0.9998545384018619,0.9998545384018619,3.0,0.9998545384018619,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.9999030256012412,0.9998545384018619,0.9998545384018619,3.0,0.9998545384018619,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True,0.0,0.0,0.0,0.0,0.0,2201.0,17700.0,0.9420545459192802,0.8932796741660202,0.14177657098525986,1889.0,0.9084076803723817,0.0,0.0,1.0,2.0,2125.0,1819.0,72.0,True,0.0,0.0,3.0,3.0,0.0
2306.01863,3708.0,29764.0,0.9454419390717763,0.897958060432605,0.18091254334305684,3094.0,0.9148549727557929,0.0,0.0,3.0,2.0,3447.0,2950.0,71.0,True,0.0,0.0,0.0,6.0,-3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,3708.0,29764.0,0.9454419390717763,0.897958060432605,0.18091254334305684,3094.0,0.9148549727557929,0.0,0.0,3.0,2.0,3447.0,2950.0,71.0,True,0.0,0.0,0.0,6.0,-3.0
2306.00179,31369.0,90674.0,0.8114877945134331,0.673263407876509,0.05554803295593025,19008.0,0.8020144364473424,5.0,3.0,3613.0,2.0,22582.0,18206.0,87.0,True,0.0,0.0,0.0,2.0,-10.0,2.0,2.0,0.9999791681856531,0.9999791681856531,0.9999791681856531,2.0,0.9999791681856531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,31371.0,90674.0,0.8114641862222012,0.6732425760621621,0.05554803295593025,19010.0,0.8019936046329954,5.0,3.0,3613.0,2.0,22582.0,18206.0,87.0,True,0.0,0.0,0.0,2.0,-10.0
