2306.04587,0,article,11.189542293548584,0.1716606616973877
2306.00049,0,mnras,75.94625210762024,0.1672821044921875
2306.11061,0,article,10.424277067184448,0.1676640510559082
2306.02667,12,elsarticle,6.211815595626831,0.1667015552520752
2306.00070,0,article,15.11127519607544,0.16667699813842773
2306.02708,0,amsart,11.931943416595459,0.16713619232177734
2306.00489,0,INTERSPEECH2023,7.123998165130615,0.1701817512512207
2306.00432,0,article,6.556469202041626,0.21734857559204102
2306.06241,0,elsarticle,43.25733208656311,0.1694176197052002
2306.00182,0,amsart,20.2552433013916,0.21864557266235352
2306.00389,0,article,15.16458535194397,0.17810916900634766
2306.00125,0,article,10.729985475540161,0.17249083518981934
2306.00293,0,achemso,16.21225595474243,0.13385438919067383
2306.00210,0,article,14.296953916549683,0.17261600494384766
2306.01661,0,revtex4-1,10.582508087158203,0.1673743724822998
2306.08345,12,acmart,6.968783140182495,7.206497669219971
2306.00028,0,revtex4-2,10.035566091537476,0.16697072982788086
2306.01534,0,article,7.356696844100952,0.16793155670166016
2306.00194,0,amsart,7.370506525039673,0.16904759407043457
2306.02145,0,wlscirep,13.849246501922607,0.16698884963989258
2306.00706,0,article,3.98909068107605,0.16827154159545898
2306.00359,0,revtex4-1,3.3844566345214844,0.16750693321228027
2306.00135,0,article,10.534396886825562,0.16740131378173828
2306.00055,12,article,0.520658016204834,0.17066693305969238
2306.00853,0,article,34.359721422195435,0.16745519638061523
2306.00250,0,revtex4-1,15.509685754776001,0.1721346378326416
2306.00475,0,elsarticle,4.826794862747192,0.16648077964782715
2306.00038,0,article,18.82884931564331,0.16821980476379395
2306.00365,0,revtex4-2,21.762819290161133,0.17067790031433105
2306.00511,0,amsart,7.213043689727783,0.17014288902282715
2306.00922,0,amsart,3.3339426517486572,0.16989469528198242
2306.02185,12,nature,12.160207748413086,0.11623573303222656
2306.00094,0,elsarticle,12.839120864868164,0.17151331901550293
2306.00122,0,article,15.533226728439331,0.16903948783874512
2306.00085,0,article,10.783217668533325,0.17009305953979492
2306.00733,0,article,8.066811323165894,0.17521929740905762
2306.00282,0,cas-dc,24.51801586151123,0.17165303230285645
2306.00454,0,article,7.813735008239746,0.16774654388427734
2306.00050,12,article,5.915039300918579,0.16878294944763184
2306.03941,0,article,7.862961769104004,0.1714470386505127
2306.00484,0,amsart,7.409236907958984,0.16692447662353516
2306.00029,12,article,3.4392588138580322,0.17153716087341309
2306.02148,0,elsarticle,9.938557386398315,0.16845011711120605
2306.00613,0,article,10.185938835144043,0.1660757064819336
2306.02096,12,elsarticle,4.237654447555542,0.21758747100830078
2306.00128,0,achemso,12.80663776397705,0.17760062217712402
2306.00123,12,revtex4-2,4.145070791244507,0.1723623275756836
2306.00084,0,mnras,18.393031358718872,0.16618657112121582
2306.01133,0,amsart,3.083967685699463,0.17016315460205078
2306.00428,0,amsart,4.5638368129730225,0.17216992378234863
2306.01933,0,MRM,17.76957368850708,0.16895437240600586
2306.00429,0,revtex4-1,8.664909839630127,0.16773223876953125
2306.08367,12,acmart,5.261213541030884,0.31954073905944824
2306.08110,0,article,13.62887954711914,0.16696429252624512
2306.00466,12,IEEEtran,3.536005973815918,0.16806316375732422
2306.00554,12,egpubl,7.127276182174683,0.1707611083984375
2306.00782,0,revtex4-2,28.181384325027466,0.16748976707458496
2306.13226,0,memoir,6.070048809051514,0.16647124290466309
2306.00149,0,IEEEtran,6.5072712898254395,0.16695427894592285
2306.04327,0,llncs,9.335971593856812,0.1681380271911621
2306.02281,0,revtex4-2,8.113504409790039,0.16900277137756348
2306.00285,0,article,3.554663896560669,0.17047429084777832
2306.00022,0,mnras,5.951428651809692,0.16917705535888672
2306.00078,0,revtex4-1,6.0044779777526855,0.1669771671295166
2306.00743,0,article,5.298751592636108,0.1678757667541504
2306.01028,0,llncs,5.046645402908325,0.16838550567626953
2306.00313,0,amsart,11.808370590209961,0.16673994064331055
2306.02681,12,revtex4-2,13.604368209838867,0.16921329498291016
2306.00479,12,acmart,7.841073751449585,0.17265820503234863
2306.00036,0,article,22.664883852005005,0.17451071739196777
2306.00110,0,article,14.931355237960815,0.16844391822814941
2306.00762,0,uai2023,23.27283215522766,0.16718554496765137
2306.00641,0,atlasdoc,69.27402329444885,0.1661989688873291
2306.00710,0,amsart,8.523422479629517,0.16813015937805176
2306.06698,12,article,2.7812578678131104,0.1683025360107422
2306.00113,0,amsart,7.788663864135742,0.16965770721435547
2306.00263,0,pasj01,7.745258569717407,0.16914868354797363
2306.00531,0,amsart,5.350568056106567,0.1759169101715088
2306.00574,12,article,4.594538688659668,0.1683177947998047
2306.01073,0,article,4.945122718811035,0.1691586971282959
2306.00615,0,article,6.673039436340332,0.11589956283569336
2306.00146,0,revtex4-2,106.12379956245422,0.1757361888885498
2306.00236,12,article,4.741519212722778,0.17594575881958008
2306.00093,0,article,6.003268480300903,0.16845989227294922
2306.00033,0,article,2.4467594623565674,0.1167287826538086
2306.00367,0,article,15.313436269760132,0.16777944564819336
2306.08486,0,GonnellaLab-StyleArXiv,25.45098066329956,0.16808390617370605
2306.01378,0,comsoc2023,11.39480185508728,0.1691269874572754
2306.00218,0,revtex4-1,4.295172452926636,0.16765189170837402
2306.05241,0,article,15.075910091400146,0.17016935348510742
2306.10630,0,achemso,9.476494073867798,0.11620664596557617
2306.00005,0,article,19.620556116104126,0.17209863662719727
2306.00006,0,article,11.087456464767456,0.17242217063903809
2306.00822,0,article,3.288771390914917,0.16992664337158203
2306.00237,12,revtex4-2,3.604341506958008,0.16633844375610352
