arxiv_id,entrypoint,documentclass,docclass_params,20,21,23,20<>21,20<>23
2306.00750,,,,,,,False,False
2306.07778,,,,,,,True,True
2306.00139,,,,,,,True,True
2306.00554,,,,,,,True,False
2306.00130,,,,,,,True,True
2306.02667,,,,,,,True,False
2306.00994,,,,,,,False,False
2306.00163,,,,,,,False,False
2306.02062,,,,,,,True,True
2306.02096,,,,,,,False,False
2306.00190,,,,,,,False,False
2306.01284,,,,,,,False,False
2306.10905,,,,,,,True,True
2306.00394,,,,,,,False,False
2306.00358,,,,,,,True,True
2306.00531,,,,,,,False,False
2306.00367,,,,,,,False,False
2306.00155,,,,,,,False,False
2306.01073,,,,,,,True,True
2306.01625,,,,,,,False,False
2306.00581,,,,,,,False,False
2306.01661,,,,,,,True,True
2306.00575,,,,,,,False,False
2306.05803,,,,,,,False,False
2306.00116,,,,,,,False,False
2306.00120,,,,,,,False,False
2306.00782,,,,,,,True,True
2306.04587,,,,,,,False,False
2306.00187,,,,,,,True,True
2306.01294,,,,,,,False,False
2306.00510,,,,,,,True,False
2306.03395,,,,,,,False,False
2306.00142,,,,,,,False,False
2306.06241,,,,,,,True,True
2306.01632,,,,,,,False,False
2306.01063,,,,,,,True,True
2306.00145,,,,,,,False,False
2306.01803,,,,,,,False,False
2306.03768,,,,,,,True,True
2306.00126,,,,,,,False,False
2306.00922,,,,,,,True,True
2306.01235,,,,,,,True,True
2306.10949,,,,,,,False,False
2306.00313,,,,,,,False,False
2306.08345,,,,,,,True,False
2306.00128,,,,,,,True,False
2306.03766,,,,,,,False,False
2306.00573,,,,,,,False,False
2306.00741,,,,,,,True,True
2306.00110,,,,,,,False,False
2306.00322,,,,,,,False,False
2306.00746,,,,,,,True,True
2306.00574,,,,,,,True,False
2306.01660,,,,,,,False,False
2306.00580,,,,,,,False,False
2306.00712,,,,,,,False,False
2306.00382,,,,,,,False,False
2306.03960,,,,,,,False,False
2306.00371,,,,,,,False,False
2306.00181,,,,,,,False,False
2306.00511,,,,,,,True,True
2306.00378,,,,,,,False,False
2306.00516,,,,,,,True,True
2306.00340,,,,,,,False,False
2306.00490,,,,,,,False,False
2306.04202,,,,,,,True,True
2306.00464,,,,,,,False,False
2306.00038,,,,,,,False,False
2306.13848,,,,,,,False,False
2306.00007,,,,,,,False,False
2306.00235,,,,,,,True,True
2306.00031,,,,,,,False,False
2306.00203,,,,,,,True,False
2306.02792,,,,,,,False,False
2306.00009,,,,,,,False,False
2306.00036,,,,,,,False,False
2306.00096,,,,,,,False,False
2306.00062,,,,,,,False,False
2306.00250,,,,,,,False,False
2306.05379,,,,,,,True,True
2306.00257,,,,,,,False,False
2306.00091,,,,,,,False,False
2306.00268,,,,,,,False,False
2306.00053,,,,,,,False,False
2306.01949,,,,,,,True,True
2306.02394,,,,,,,False,False
2306.01511,,,,,,,False,False
2306.00408,,,,,,,True,True
2306.01378,,,,,,,False,False
2306.00054,,,,,,,False,False
2306.00266,,,,,,,False,False
2306.00008,,,,,,,False,False
2306.00661,,,,,,,True,True
2306.02136,,,,,,,False,False
2306.00453,,,,,,,False,False
2306.00205,,,,,,,False,False
2306.01740,,,,,,,False,False
2306.00030,,,,,,,False,False
2306.02303,,,,,,,False,False
2306.00454,,,,,,,True,True
2306.03822,,,,,,,False,False
2306.00039,,,,,,,True,True
2306.01544,,,,,,,False,False
2306.00234,,,,,,,True,True
2306.00006,,,,,,,False,False
2306.00001,,,,,,,False,True
2306.01127,,,,,,,False,False
2306.03442,,,,,,,False,False
2306.00055,,,,,,,False,False
2306.00431,,,,,,,False,False
2306.00293,,,,,,,True,False
2306.03416,,,,,,,False,False
