arxiv_id,2021_levenshtein,2021_hamming,2021_levenshtein_ratio,2021_levenshtein_normalised,2021_hamming_normalised,2021_levenshtein_cleaned,2021_levenshtein_cleaned_normalised,2021_op_uppercase,2021_op_lowercase,2021_op_movement,2021_op_whitespace,2021_insert_minus_delete,2021_chars_diff_nett,2021_chars_diff_uniq,2021_img_correct_order,2021_img_num_missing,2021_img_num_diff_size,2021_fonts_num,2021_fonts_uniq,2021_num_pages,2023_levenshtein,2023_hamming,2023_levenshtein_ratio,2023_levenshtein_normalised,2023_hamming_normalised,2023_levenshtein_cleaned,2023_levenshtein_cleaned_normalised,2023_op_uppercase,2023_op_lowercase,2023_op_movement,2023_op_whitespace,2023_insert_minus_delete,2023_chars_diff_nett,2023_chars_diff_uniq,2023_img_correct_order,2023_img_num_missing,2023_img_num_diff_size,2023_fonts_num,2023_fonts_uniq,2023_num_pages
2306.00916,2.0,2.0,0.9999695414464768,0.9999695414464768,0.9999695414464768,2.0,0.9999695414464768,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9999695414464768,0.9999695414464768,0.9999695414464768,2.0,0.9999695414464768,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0
2306.15291,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00743,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.01691,12409.0,60991.0,0.8930034860253195,0.810399095465102,0.06809986554210978,3281.0,0.9498685979709082,6.0,10.0,3814.0,2.0,88.0,88.0,15.0,True,0.0,0.0,1.0,1.0,0.0,12409.0,60991.0,0.8930034860253195,0.810399095465102,0.06809986554210978,3281.0,0.9498685979709082,6.0,10.0,3814.0,2.0,88.0,88.0,15.0,True,0.0,0.0,1.0,1.0,0.0
2306.00327,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.09408,2.0,2.0,0.9999684999685,0.9999684999685,0.9999684999685,2.0,0.9999684999685,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9999684999685,0.9999684999685,0.9999684999685,2.0,0.9999684999685,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,2.0,0.0
2306.03763,1146.0,2741.0,0.9853948882108738,0.9713399689891462,0.9314510078527485,125.0,0.9968739058670535,0.0,1.0,422.0,2.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,1146.0,2741.0,0.9853948882108738,0.9713399689891462,0.9314510078527485,125.0,0.9968739058670535,0.0,1.0,422.0,2.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00329,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,15.0,26547.0,0.9998654310244287,0.9997308886058236,0.5237266545865552,0.0,1.0,0.0,0.0,0.0,2.0,-11.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00927,23.0,36956.0,0.9997761883909891,0.9995523811377304,0.28077379678103653,0.0,1.0,0.0,0.0,9.0,2.0,-1.0,0.0,0.0,False,2.0,0.0,0.0,0.0,0.0,23.0,36956.0,0.9997761883909891,0.9995523811377304,0.28077379678103653,0.0,1.0,0.0,0.0,9.0,2.0,-1.0,0.0,0.0,False,2.0,0.0,0.0,0.0,0.0
2306.00123,2.0,2.0,0.9999387461333497,0.9999387461333497,0.9999387461333497,2.0,0.9999387461333497,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,8242.0,26468.0,0.855468954333839,0.7475728155339806,0.18936632874950232,6802.0,0.7916755995222198,0.0,0.0,12.0,2.0,-7951.0,-6661.0,80.0,True,0.0,0.0,0.0,2.0,3.0
2306.01402,2.0,2.0,0.9999570252906165,0.9999570252906165,0.9999570252906165,2.0,0.9999570252906165,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9999570252906165,0.9999570252906165,0.9999570252906165,2.0,0.9999570252906165,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0
2306.00372,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,2.0,52310.0,0.9999868788789315,0.9999737581021859,0.31364316267352454,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.01092,242.0,1137.0,0.996896719755841,0.9937934395116822,0.9708394244825729,0.0,1.0,0.0,0.0,101.0,2.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,242.0,1137.0,0.996896719755841,0.9937934395116822,0.9708394244825729,0.0,1.0,0.0,0.0,101.0,2.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00147,2.0,2.0,0.9999692099267197,0.9999692099267197,0.9999692099267197,2.0,0.9999692099267197,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,9484.0,54285.0,0.9070763112743133,0.8539934725044646,0.1642804359874377,7513.0,0.8843370897222735,5.0,7.0,276.0,4.0,-5186.0,-4697.0,73.0,True,0.0,0.0,0.0,2.0,0.0
2306.03399,2.0,3.0,0.9999697537958986,0.9999395075917973,0.9999092613876959,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.9999697537958986,0.9999395075917973,0.9999092613876959,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00178,18.0,44.0,0.9999151803024428,0.9998909461031408,0.9997334238076774,16.0,0.9999030632027918,0.0,0.0,1.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,18.0,44.0,0.9999151803024428,0.9998909461031408,0.9997334238076774,16.0,0.9999030632027918,0.0,0.0,1.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0
2306.00727,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00343,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00718,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00388,10707.0,42558.0,0.8849233706315957,0.8108203615032599,0.2480520168913547,4779.0,0.9155608954538226,8.0,9.0,2374.0,5.0,52.0,41.0,27.0,True,0.0,0.0,0.0,8.0,-1.0,10714.0,42580.0,0.8848567337775971,0.8107100581261815,0.24771647144043396,4776.0,0.9156198653734032,8.0,9.0,2378.0,5.0,56.0,45.0,25.0,True,0.0,0.0,0.0,8.0,-1.0
2306.00182,131.0,144676.0,0.9995804347938692,0.9993214509554074,0.250612507057428,66.0,0.9996581355958541,0.0,0.0,20.0,2.0,4.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,131.0,144676.0,0.9995804347938692,0.9993214509554074,0.250612507057428,66.0,0.9996581355958541,0.0,0.0,20.0,2.0,4.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0
2306.00512,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00981,2.0,2.0,0.9999200607538271,0.9999200607538271,0.9999200607538271,2.0,0.9999200607538271,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9999200607538271,0.9999200607538271,0.9999200607538271,2.0,0.9999200607538271,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0
2306.00149,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
2306.00921,2.0,2.0,0.9999782279748751,0.9999782279748751,0.9999782279748751,2.0,0.9999782279748751,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,5165.0,84482.0,0.9653745869826736,0.9437737451149019,0.0803278866983812,2595.0,0.9717507974004203,3.0,2.0,1078.0,2.0,-13.0,-217.0,13.0,True,0.0,0.0,0.0,0.0,0.0
2306.02681,2.0,2.0,0.9999731128587753,0.9999731128587753,0.9999731128587753,2.0,0.9999731128587753,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,16700.0,63001.0,0.8750875621962404,0.7754923707736775,0.15304160785104526,9833.0,0.8678093701687168,1.0,1.0,2012.0,2.0,-10297.0,-8845.0,79.0,True,0.0,0.0,1.0,1.0,1.0
2306.01838,2.0,2.0,0.9999264002355193,0.9999264002355193,0.9999264002355193,2.0,0.9999264002355193,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.9999264002355193,0.9999264002355193,0.9999264002355193,2.0,0.9999264002355193,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,2.0,0.0
2306.00122,4.0,62932.0,0.9999712530783162,0.9999616711383672,0.39697201993100806,2.0,0.9999808355691836,0.0,0.0,0.0,1.0,2.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,4.0,62932.0,0.9999712530783162,0.9999616711383672,0.39697201993100806,2.0,0.9999808355691836,0.0,0.0,0.0,1.0,2.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0
2306.00773,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,11861.0,32645.0,0.850054291558294,0.7392269809163662,0.2822750857444376,10095.0,0.7780538211239117,0.0,0.0,0.0,2.0,-11766.0,-10041.0,75.0,True,0.0,0.0,1.0,1.0,3.0
2306.00125,2.0,2.0,0.9999775555779999,0.9999775555779999,0.9999775555779999,2.0,0.9999775555779999,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9999775555779999,0.9999775555779999,0.9999775555779999,2.0,0.9999775555779999,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,0.0,0.0,0.0
